JEAFBPFEDAM	BPGIGODONBH	CGGMNMMBOND	NLFMOMNLBDJ	PGABGPKMNAN	CGMCBILGBLC	FPCBLGCAKBP	LGKEHFPCIJE	GINIFNCJGKI	FIONDMKOIJI	OAHAOLFCLOK	PNCCJLPGLEB	IPEJKELGEPE	GLFAHCGDBJD	EHPLOJAFJFI	NOHPFLNFAOK	APGDLLPCHDI	MNGJEEHMOMD	JIANHJDNLHL	teleport_id
[]	"Workshop_Teleport_ToWorkshop"	2	""	"TeleportName_01"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconRandom1F.png"	100001	FALSE	""	3	1	[]	5	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	1
[]	"Street_Teleport_ToGrocery"	1	"1040140073"	"TeleportName_02"	1001	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/Icon141.png"	100002	FALSE	"UIGroceryPageController"	9	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	2
[]	"Street_Teleport_ToRamenStore"	1	"1040140082"	"TeleportName_03"	1011	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNoodle.png"	100003	FALSE	""	7	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	3
[]	"Street_Teleport_ToAudioVteleport_ideoStore"	1	"1040140214"	"TeleportName_04"	1101	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconBardicBeedie.png"	100004	FALSE	""	5	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	4
[]	"ConstructionSite_PlayerPos_FromGrocery"	4	"1040100006"	"TeleportName_05"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconMaintenance.png"	1008	FALSE	""	202	1	[]	20	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	5
[]	"Street_Teleport_ToCafe"	1	"1040140126"	"TeleportName_06"	1021	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCoff.png"	100006	FALSE	""	2	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	6
[]	"Street_Teleport_ToTURBOStore"	1	"1040140091"	"TeleportName_07"	1031	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IocnRefit.png"	100007	TRUE	""	4	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	7
[]	"Street_Teleport_ToGodFinger"	1	"1040140070"	"TeleportName_08"	1091	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconCod.png"	100008	FALSE	""	6	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	8
[]	"Street_Teleport_ToNewsStand"	1	"1040140088"	"TeleportName_09"	1061	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconNewsstand.png"	100009	FALSE	""	3	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	9
[]	"ConstructionSite_Teleport_ToStorageArea"	4	"1040100006"	"TeleportName_10"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconStorage.png"	100010	FALSE	""	203	1	[]	20	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	10
[]	"Street_Teleport_ToBoxGalaxy"	1	"1040140072"	"TeleportName_11"	1071	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconBox.png"	100011	FALSE	""	8	1	[]	10	[]	[]	TRUE	"TeleportName_01_DecorativeText"	4	11
[]	"SkyScraper_PlayerPos_Default"	5	"1040140296"	"TeleportName_12"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconPlaza.png"	100011	FALSE	""	302	1	[]	30	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	12
[]	"FortuneSquare_PlayerPos_ToMall01"	101	"1040140267"	"TeleportName_13"	0	"UI/Sprite/A1DynamicLoad/NavigationPage/UnPacker/ShopPic/IconLuminar.png"	100011	FALSE	""	11	1	[]	40	[]	[]	TRUE	"TeleportName_01_DecorativeText"	1	13
